-3.775000000000000000e+02,9.062756685865700976e-03
-3.699499999999999886e+02,9.579245039218966737e-03
-3.623999999999999773e+02,1.013335675552690107e-02
-3.548500000000000227e+02,1.072827278168648167e-02
-3.473000000000000114e+02,1.136745526472325747e-02
-3.397500000000000000e+02,1.205466840658640966e-02
-3.321999999999999886e+02,1.279399913410703658e-02
-3.246499999999999773e+02,1.358987689076137685e-02
-3.170999999999999659e+02,1.444709160817204789e-02
-3.095500000000000114e+02,1.537080860129183719e-02
-3.020000000000000000e+02,1.636657873952578751e-02
-2.944499999999999886e+02,1.744034176388755200e-02
-2.868999999999999773e+02,1.859842003580327099e-02
-2.793499999999999659e+02,1.984749930756171329e-02
-2.718000000000000114e+02,2.119459229523734667e-02
-2.642500000000000000e+02,2.264697992114067526e-02
-2.566999999999999886e+02,2.421212410198272241e-02
-2.491500000000000057e+02,2.589754494685510625e-02
-2.416000000000000227e+02,2.771065429286777640e-02
-2.340500000000000114e+02,2.965853679973773707e-02
-2.265000000000000000e+02,3.174766957602283973e-02
-2.189500000000000171e+02,3.398357183843515872e-02
-2.114000000000000057e+02,3.637037783332949109e-02
-2.038499999999999943e+02,3.891032969657832324e-02
-1.963000000000000114e+02,4.160319268384659458e-02
-1.887500000000000000e+02,4.444560385144135511e-02
-1.811999999999999886e+02,4.743037724928837739e-02
-1.736500000000000057e+02,5.054580408446362333e-02
-1.660999999999999943e+02,5.377500455450830857e-02
-1.585499999999999829e+02,5.709540756396538214e-02
-1.510000000000000000e+02,6.047845244090394035e-02
-1.434499999999999886e+02,6.388961872453326196e-02
-1.359000000000000057e+02,6.728889054556383420e-02
-1.283499999999999943e+02,7.063174512328711241e-02
-1.208000000000000114e+02,7.387071565923862548e-02
-1.132500000000000142e+02,7.695751588682649136e-02
-1.057000000000000171e+02,7.984563068462338653e-02
-9.815000000000001990e+01,8.249318529777514841e-02
-9.060000000000000853e+01,8.486582206471927903e-02
-8.305000000000001137e+01,8.693925868987460726e-02
-7.550000000000001421e+01,8.870119450837070374e-02
-6.795000000000001705e+01,9.015228086489303350e-02
-6.040000000000000568e+01,9.130597541306469112e-02
-5.285000000000000853e+01,9.218724044701703813e-02
-4.530000000000000426e+01,9.283019491016235303e-02
-3.775000000000000711e+01,9.327495900930762862e-02
-3.020000000000000284e+01,9.356401652998276586e-02
-2.265000000000000213e+01,9.373845279334844238e-02
-1.510000000000000142e+01,9.383440939743924181e-02
-7.550000000000000711e+00,9.388004448591358297e-02
0.000000000000000000e+00,9.389321735955778736e-02
7.550000000000000711e+00,9.388004448591358297e-02
1.510000000000000142e+01,9.383440939743924181e-02
2.265000000000000213e+01,9.373845279334844238e-02
3.020000000000000284e+01,9.356401652998276586e-02
3.775000000000000711e+01,9.327495900930762862e-02
4.530000000000000426e+01,9.283019491016235303e-02
5.285000000000000853e+01,9.218724044701703813e-02
6.040000000000000568e+01,9.130597541306469112e-02
6.795000000000001705e+01,9.015228086489303350e-02
7.550000000000001421e+01,8.870119450837070374e-02
8.305000000000001137e+01,8.693925868987460726e-02
9.060000000000000853e+01,8.486582206471927903e-02
9.815000000000001990e+01,8.249318529777514841e-02
1.057000000000000171e+02,7.984563068462338653e-02
1.132500000000000142e+02,7.695751588682649136e-02
1.208000000000000114e+02,7.387071565923862548e-02
1.283500000000000227e+02,7.063174512328708465e-02
1.358999999999999773e+02,6.728889054556384808e-02
1.434500000000000171e+02,6.388961872453324808e-02
1.509999999999999716e+02,6.047845244090396116e-02
1.585500000000000114e+02,5.709540756396536132e-02
1.660999999999999659e+02,5.377500455450832939e-02
1.736500000000000341e+02,5.054580408446360251e-02
1.811999999999999602e+02,4.743037724928839127e-02
1.887500000000000284e+02,4.444560385144135511e-02
1.962999999999999829e+02,4.160319268384659458e-02
2.038500000000000227e+02,3.891032969657831631e-02
2.113999999999999773e+02,3.637037783332949803e-02
2.189500000000000455e+02,3.398357183843515178e-02
2.264999999999999716e+02,3.174766957602286055e-02
2.340500000000000398e+02,2.965853679973773360e-02
2.415999999999999943e+02,2.771065429286778681e-02
2.491500000000000341e+02,2.589754494685510625e-02
2.566999999999999886e+02,2.421212410198272241e-02
2.642500000000000568e+02,2.264697992114066485e-02
2.718000000000000114e+02,2.119459229523734667e-02
2.793500000000000227e+02,1.984749930756169595e-02
2.868999999999999773e+02,1.859842003580327099e-02
2.944500000000000455e+02,1.744034176388754506e-02
3.020000000000000000e+02,1.636657873952578751e-02
3.095500000000000682e+02,1.537080860129183026e-02
3.170999999999999659e+02,1.444709160817204789e-02
3.246500000000000341e+02,1.358987689076136991e-02
3.321999999999999886e+02,1.279399913410703658e-02
3.397500000000000568e+02,1.205466840658640446e-02
3.473000000000000114e+02,1.136745526472325747e-02
3.548500000000000796e+02,1.072827278168647647e-02
3.623999999999999773e+02,1.013335675552690107e-02
3.699500000000000455e+02,9.579245039218961533e-03
3.775000000000000000e+02,9.062756685865700976e-03
